customer_id,gender,age_group,tenure,contract_type,payment_method,monthly_charges,total_charges,streaming_plan,support_tickets,churn_status,churn_reason,tenure_group,monthly_revenue_loss,annual_revenue_loss,customer_lifetime_value
CUST-00462,Male,35-44,12,Month-to-month,Credit card,26.88,313.91,Premium,2,Churned,Temporary need ended,7-12 months,26.88,322.56,313.91
CUST-01315,Female,35-44,46,Two year,Credit card,27.58,1228.27,Basic,1,Stayed,Not churned,25-48 months,0.0,0.0,1228.27
CUST-01473,Male,45-54,24,Month-to-month,Electronic check,33.95,840.55,Premium,3,Stayed,Not churned,13-24 months,0.0,0.0,840.55
CUST-00745,Female,55-64,15,Month-to-month,Electronic check,25.12,421.33,Standard,0,Churned,Competitor offer,13-24 months,25.12,301.44,421.33
CUST-00248,Male,25-34,11,Month-to-month,Credit card,39.99,458.79,Premium,4,Churned,Product dissatisfaction,7-12 months,39.99,479.88,458.79
CUST-00431,Female,35-44,30,One year,Bank transfer,7.99,234.66,Premium,1,Stayed,Not churned,25-48 months,0.0,0.0,234.66
CUST-00940,Male,25-34,9,Month-to-month,Electronic check,21.54,233.91,Standard,0,Stayed,Not churned,7-12 months,0.0,0.0,233.91
CUST-01491,Female,25-34,18,Month-to-month,Credit card,38.35,670.76,Basic,0,Stayed,Not churned,13-24 months,0.0,0.0,670.76
CUST-00359,Male,55-64,51,Two year,Mailed check,7.99,419.71,Mobile,1,Stayed,Not churned,49+ months,0.0,0.0,419.71
CUST-00428,Male,35-44,37,One year,Credit card,7.99,248.74,Premium,1,Stayed,Not churned,25-48 months,0.0,0.0,248.74
CUST-00052,Male,45-54,14,Month-to-month,Credit card,7.99,125.65,Mobile,0,Stayed,Not churned,13-24 months,0.0,0.0,125.65
CUST-00655,Female,25-34,14,Month-to-month,Electronic check,10.65,177.87,Basic,1,Stayed,Not churned,13-24 months,0.0,0.0,177.87
CUST-00480,Male,55-64,11,Month-to-month,Credit card,31.64,320.31,Basic,0,Stayed,Not churned,7-12 months,0.0,0.0,320.31
CUST-01411,Female,25-34,3,Month-to-month,Bank transfer,7.99,18.21,Standard,2,Stayed,Not churned,0-6 months,0.0,0.0,18.21
CUST-01236,Female,45-54,21,Month-to-month,Electronic check,7.99,174.94,Standard,1,Churned,Temporary need ended,13-24 months,7.99,95.88,174.94
CUST-00077,Male,18-24,17,Two year,Bank transfer,28.18,470.0,Standard,1,Stayed,Not churned,13-24 months,0.0,0.0,470.0
CUST-00811,Male,35-44,31,One year,Bank transfer,18.26,557.28,Premium,1,Stayed,Not churned,25-48 months,0.0,0.0,557.28
CUST-01266,Female,65+,6,Month-to-month,Electronic check,35.72,206.49,Basic,2,Stayed,Not churned,0-6 months,0.0,0.0,206.49
CUST-00652,Male,25-34,10,Month-to-month,Credit card,36.04,381.11,Premium,1,Stayed,Not churned,7-12 months,0.0,0.0,381.11
CUST-01217,Female,45-54,12,Month-to-month,Credit card,24.89,298.68,Standard,0,Churned,Competitor offer,7-12 months,24.89,298.68,298.68
CUST-00142,Female,55-64,39,Two year,Credit card,7.99,259.37,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,259.37
CUST-00050,Female,45-54,2,Month-to-month,Electronic check,7.99,7.99,Mobile,0,Churned,Price too high,0-6 months,7.99,95.88,7.99
CUST-00728,Male,45-54,2,Month-to-month,Electronic check,25.47,55.18,Basic,1,Stayed,Not churned,0-6 months,0.0,0.0,55.18
CUST-01461,Female,25-34,4,Month-to-month,Bank transfer,12.94,94.17,Standard,0,Stayed,Not churned,0-6 months,0.0,0.0,94.17
CUST-01186,Male,18-24,9,One year,Electronic check,7.99,123.14,Mobile,2,Stayed,Not churned,7-12 months,0.0,0.0,123.14
CUST-01038,Male,25-34,48,Two year,Electronic check,7.99,384.13,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,384.13
CUST-00708,Male,55-64,12,Month-to-month,Bank transfer,39.99,545.71,Standard,6,Stayed,Not churned,7-12 months,0.0,0.0,545.71
