customer_id,gender,age_group,tenure,contract_type,payment_method,monthly_charges,total_charges,internet_service,support_tickets,churn_status,churn_reason,tenure_group,monthly_revenue_loss,annual_revenue_loss,customer_lifetime_value
CUST-00462,Male,35-44,27,Month-to-month,Credit card,55.93,1518.06,DSL,0,Stayed,Not churned,25-48 months,0.0,0.0,1518.06
CUST-01315,Female,35-44,72,Two year,Credit card,75.23,5393.1,Fiber optic,2,Stayed,Not churned,49+ months,0.0,0.0,5393.1
CUST-01473,Male,45-54,1,Month-to-month,Electronic check,18.99,18.99,,0,Stayed,Not churned,0-6 months,0.0,0.0,18.99
CUST-00745,Female,55-64,20,Month-to-month,Electronic check,79.12,1612.69,Fiber optic,0,Churned,Temporary need ended,13-24 months,79.12,949.44,1612.69
CUST-00248,Male,25-34,17,Month-to-month,Credit card,75.61,1400.04,DSL,0,Churned,Price too high,13-24 months,75.61,907.32,1400.04
CUST-00431,Female,35-44,21,One year,Bank transfer,69.74,1455.33,DSL,0,Stayed,Not churned,13-24 months,0.0,0.0,1455.33
CUST-00940,Male,25-34,20,Month-to-month,Electronic check,97.52,1938.17,Fiber optic,0,Stayed,Not churned,13-24 months,0.0,0.0,1938.17
CUST-01491,Female,25-34,12,Month-to-month,Credit card,60.87,771.98,Fiber optic,1,Stayed,Not churned,7-12 months,0.0,0.0,771.98
CUST-00359,Male,55-64,30,Two year,Mailed check,21.26,643.07,,1,Stayed,Not churned,25-48 months,0.0,0.0,643.07
CUST-00428,Male,35-44,43,One year,Credit card,72.12,3121.15,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,3121.15
CUST-00052,Male,45-54,38,Month-to-month,Credit card,29.2,1050.1,,1,Stayed,Not churned,25-48 months,0.0,0.0,1050.1
CUST-00655,Female,25-34,22,Month-to-month,Electronic check,98.65,2174.35,Fiber optic,2,Churned,Competitor offer,13-24 months,98.65,1183.8,2174.35
CUST-00480,Male,55-64,3,Month-to-month,Credit card,89.83,228.63,Fiber optic,3,Stayed,Not churned,0-6 months,0.0,0.0,228.63
CUST-01411,Female,25-34,15,Month-to-month,Bank transfer,63.07,914.0,Fiber optic,3,Stayed,Not churned,13-24 months,0.0,0.0,914.0
CUST-01236,Female,45-54,18,Month-to-month,Electronic check,67.56,1245.74,Fiber optic,0,Churned,Competitor offer,13-24 months,67.56,810.72,1245.74
CUST-00077,Male,18-24,64,Two year,Bank transfer,41.25,2640.0,Fiber optic,0,Stayed,Not churned,49+ months,0.0,0.0,2640.0
CUST-00811,Male,35-44,31,One year,Bank transfer,40.27,1239.59,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,1239.59
CUST-01266,Female,65+,19,Month-to-month,Electronic check,59.33,1148.22,Fiber optic,1,Stayed,Not churned,13-24 months,0.0,0.0,1148.22
CUST-00652,Male,25-34,12,Month-to-month,Credit card,47.2,584.05,DSL,0,Stayed,Not churned,7-12 months,0.0,0.0,584.05
CUST-01217,Female,45-54,18,Month-to-month,Credit card,52.84,992.24,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,992.24
CUST-00142,Female,55-64,18,Two year,Credit card,60.28,1108.13,Fiber optic,1,Stayed,Not churned,13-24 months,0.0,0.0,1108.13
