customer_id,gender,age_group,tenure,contract_type,payment_method,monthly_charges,total_charges,internet_service,support_tickets,churn_status,churn_reason
CUST-00462,Male,35-44,27,Month-to-month,Credit card,55.93,1518.06,DSL,0,Stayed,Not churned
CUST-01315,Female,35-44,72,Two year,Credit card,75.23,5393.1,Fiber optic,2,Stayed,Not churned
CUST-01473,Male,45-54,1,Month-to-month,Electronic check,18.99,18.99,None,0,Stayed,Not churned
CUST-00745,Female,55-64,20,Month-to-month,Electronic check,79.12,1612.69,Fiber optic,0,Churned,Temporary need ended
CUST-00248,Male,25-34,17,Month-to-month,Credit card,75.61,1400.04,DSL,0,Churned,Price too high
CUST-00431,Female,35-44,21,One year,Bank transfer,69.74,1455.33,DSL,0,Stayed,Not churned
CUST-00940,Male,25-34,20,Month-to-month,Electronic check,97.52,1938.17,Fiber optic,0,Stayed,Not churned
CUST-01491,Female,25-34,12,Month-to-month,Credit card,60.87,771.98,Fiber optic,1,Stayed,Not churned
CUST-00359,Male,55-64,30,Two year,Mailed check,21.26,643.07,None,1,Stayed,Not churned
CUST-00428,Male,35-44,43,One year,Credit card,72.12,3121.15,DSL,1,Stayed,Not churned
CUST-00052,Male,45-54,38,Month-to-month,Credit card,29.2,1050.1,None,1,Stayed,Not churned
CUST-00655,Female,25-34,22,Month-to-month,Electronic check,98.65,2174.35,Fiber optic,2,Churned,Competitor offer
CUST-00480,Male,55-64,3,Month-to-month,Credit card,89.83,228.63,Fiber optic,3,Stayed,Not churned
CUST-01411,Female,25-34,15,Month-to-month,Bank transfer,63.07,914.0,Fiber optic,3,Stayed,Not churned
CUST-01236,Female,45-54,18,Month-to-month,Electronic check,67.56,1245.74,Fiber optic,0,Churned,Competitor offer
CUST-00077,Male,18-24,64,Two year,Bank transfer,41.25,,Fiber optic,0,Stayed,Not churned
CUST-00811,Male,35-44,31,One year,Bank transfer,40.27,1239.59,DSL,1,Stayed,Not churned
CUST-01266,Female,65+,19,Month-to-month,Electronic check,59.33,1148.22,Fiber optic,1,Stayed,Not churned
CUST-00652,Male,25-34,12,Month-to-month,Credit card,47.2,584.05,DSL,0,Stayed,Not churned
CUST-01217,Female,45-54,18,Month-to-month,Credit card,52.84,992.24,DSL,1,Stayed,Not churned
CUST-00142,Female,55-64,18,Two year,Credit card,60.28,1108.13,Fiber optic,1,Stayed,Not churned
CUST-00050,Female,45-54,16,Month-to-month,Electronic check,40.69,726.63,None,1,Stayed,Not churned
CUST-00728,Male,45-54,2,Month-to-month,Electronic check,83.98,172.2,Fiber optic,3,Churned,Temporary need ended
CUST-01461,Female,25-34,8,Month-to-month,Bank transfer,65.68,552.35,Fiber optic,2,Churned,Competitor offer
CUST-01186,Male,18-24,28,One year,Electronic check,21.38,577.28,None,2,Stayed,Not churned
CUST-01038,Male,25-34,18,Two year,Electronic check,47.74,823.5,Fiber optic,1,Churned,Moved location
CUST-00708,Male,55-64,12,Month-to-month,Bank transfer,69.46,899.35,DSL,3,Stayed,Not churned
CUST-01085,Male,35-44,25,Month-to-month,Bank transfer,36.64,908.26,DSL,1,Stayed,Not churned
CUST-00124,Female,65+,6,Month-to-month,Electronic check,50.58,312.48,None,1,Stayed,Not churned
CUST-00909,Female,65+,18,One year,Credit card,66.42,1184.44,DSL,1,Stayed,Not churned
CUST-00352,Male,55-64,55,Month-to-month,Bank transfer,63.73,3497.46,DSL,0,Stayed,Not churned
CUST-01345,Male,35-44,37,One year,Electronic check,36.45,1345.89,DSL,2,Stayed,Not churned
CUST-01416,Male,45-54,23,Month-to-month,Credit card,43.08,1008.88,DSL,1,Stayed,Not churned
CUST-01114,Male,45-54,13,Month-to-month,Credit card,71.82,878.18,Fiber optic,3,Churned,Price too high
CUST-00620,Male,55-64,21,Month-to-month,Credit card,51.65,1123.97,DSL,1,Stayed,Not churned
CUST-01487,Female,18-24,35,Month-to-month,Bank transfer,70.51,2455.06,Fiber optic,2,Stayed,Not churned
CUST-00523,Male,55-64,9,Month-to-month,Mailed check,69.9,654.47,DSL,0,Stayed,Not churned
CUST-00310,Female,25-34,12,Month-to-month,Electronic check,40.72,566.28,DSL,0,Stayed,Not churned
CUST-01339,Female,45-54,6,Month-to-month,Bank transfer,34.72,201.17,DSL,1,Churned,Temporary need ended
CUST-01076,Female,45-54,10,One year,Credit card,53.69,522.04,Fiber optic,3,Stayed,Not churned
CUST-00944,Male,55-64,29,Month-to-month,Mailed check,76.16,2205.73,Fiber optic,2,Stayed,Not churned
CUST-00590,Female,35-44,13,Month-to-month,Credit card,55.11,766.61,DSL,1,Stayed,Not churned
